joint,motion,plane,reference_deg,source
shoulder,flexion,sagittal,180,AAOS/Norkin-White
shoulder,extension,sagittal,60,AAOS/Norkin-White
shoulder,abduction,frontal,180,AAOS/Norkin-White
shoulder,internal_rotation,transverse,70,AAOS/Norkin-White
shoulder,external_rotation,transverse,90,AAOS/Norkin-White
elbow,flexion,sagittal,150,AAOS/Norkin-White
elbow,extension,sagittal,0,AAOS/Norkin-White
forearm,pronation,transverse,80,AAOS/Norkin-White
forearm,supination,transverse,80,AAOS/Norkin-White
wrist,flexion,sagittal,80,AAOS/Norkin-White
wrist,extension,sagittal,70,AAOS/Norkin-White
wrist,radial_deviation,frontal,20,AAOS/Norkin-White
wrist,ulnar_deviation,frontal,30,AAOS/Norkin-White
hip,flexion,sagittal,120,AAOS/Norkin-White
hip,extension,sagittal,30,AAOS/Norkin-White
hip,abduction,frontal,45,AAOS/Norkin-White
hip,adduction,frontal,30,AAOS/Norkin-White
hip,internal_rotation,transverse,45,AAOS/Norkin-White
hip,external_rotation,transverse,45,AAOS/Norkin-White
knee,flexion,sagittal,135,AAOS/Norkin-White
knee,extension,sagittal,0,AAOS/Norkin-White
ankle,dorsiflexion,sagittal,20,AAOS/Norkin-White
ankle,plantarflexion,sagittal,50,AAOS/Norkin-White
ankle,inversion,frontal,35,AAOS/Norkin-White
ankle,eversion,frontal,15,AAOS/Norkin-White
